title,year,author
Тарантас,1845,"Соллогуб, Владимир Александрович"
Дача на Петергофской дороге,1845,"Жукова (Зевакина), Мария Семеновна"
Необыкновенный поединок,1845,"Кульчицкий, Александр Яковлевич"
Двойник,1846,"Достоевский, Фёдор Михайлович"
Брынский лес.,1846,
Им привидeлся сон,1846,"Вельтман (Кубе), Елена Ивановна"
Бедные люди.,1846,
Саломея.,1846,
Спекуляторы.,1847,
Полинька Сакс,1847,"Дружинин, Александр Васильевич"
Саардамский плотник,1847,"Фурман, Пётр Романович"
Кто виноват?.,1847,
Сибирка,1847,"Кокорев, Иван Тимофеевич"
Обыкновенная история.,1847,
Семейство Тальниковых,1848,"Панаева (Брянская), Авдотья Яковлевна"
Три страны света.,1848,
Русские в начале осьмнадцатого столетия.,1848,
Приключения почерпнутые из моря житейского,1848,"Вельтман, Александр Фомич"
Чайковский,1848,"Гребенка, Евгений Павлович"
Невский проспект или Путешествия Нестора Залетаева,1848,"Бутков, Яков  Петрович"
Дружеские советы,1849,"Плещеев, Алексей Николаевич"
Неточка Незванова.,1849,
Тамарин.,1849,
Тюфяк,1850,"Писемский, Алексей Феофилактович"
Неудавшаяся жизнь,1850,"Григорович, Дмитрий  Васильевич"
"Два брата, или Москва в 1812 году.",1850,
"Москва и москвичи: Записки Богдана Ильича Бельского, издаваемые М.Н. Загоскиным",1850,"Загоскин, Михаил Николаевич"
Старушка,1850,"Соллогуб, Владимир Александрович"
Дневник лишнего человека,1850,"Тургенев, Иван Сергеевич"
Иоанн III. собиратель земли Русской.,1851,
Мертвое озеро.,1851,
Счастливая женщина.,1851,
Сергей Петрович Хозаров и Мари Ступицына,1851,"Писемский, Алексей Феофилактович"
Приворотное зелье.,1852,
Саввушка,1852,"Кокорев, Иван Тимофеевич"
Проселочные дороги.,1852,
Большая барыня.,1852,
Иванов,1852,"Авдеев, Михаил Васильевич"
Тетрадь из записок Тамарина,1852,"Авдеев, Михаил Васильевич"
Варенька,1852,"Авдеев, Михаил Васильевич"
Ночь на 28-е сентября,1853,"Вонлярлярский, Василий Александрович"
Рыбаки.,1853,
Марья Ивановна.,1853,
Крестьянка.,1853,
Палаццо Форли,1854,"Ростопчина (Сушкова), Евдокия Петровна"
Долг прежде всего,1854,"Герцен, Александр Иванович"
Заднепровские сцены,1854,"Глинка, Василий Сергеевич"
"Тонкий человек, его приключения и наблюдения.",1855,
Лето на хуторе,1855,"Высоцкой, Д. Д."
Степная барышня,1855,"Панаева (Брянская), Авдотья Яковлевна"
Переселенцы.,1855,
Севастополь в августе 1855 года,1856,"Толстой, Лев Николаевич"
Затишье,1856,"Тургенев, Иван Сергеевич"
Семейные сцены,1856,"Шаликова, Наталья Петровна"
Отрочество,1856,"Толстой, Лев Николаевич"
В свете и дома,1856,"Ермолова, Екатерина Петровна"
Вся женская жизнь в нескольких часах,1856,"Сенковский, Осип Иванович"
Корнет Отлетаев.,1856,
Рудин.,1856,
Семейная хроника,1856,"Аксаков, Сергей Тимофеевич"
Постоялый двор,1856,"Тургенев, Иван Сергеевич"
Детство,1856,"Толстой, Лев Николаевич"
Прекрасный человек,1857,"Панаев, Иван Иванович"
Актеон,1857,"Панаев, Иван Иванович"
В стороне от большого света.,1857,
