Польша	995
Брауншвейг-Люнебургский	1
Россия	5940
Марфина	5
Ченцова	1
Русь	1124
Ченцов	6
Архипова	3
Германия	461
Петербург	10116
Ветриху	2
Ветриха	1
Соловки	100
Нижний	188
Ревел	21
Афанасьев	1
Волжина	1
Волжин	1
Волжине	1
Вас	1
Вашем Вифлеем	1
Ревель	28
Москва	12418
Ревеля	15
Кузьмищево	27
Крапчик	3
Сибирь	1526
Свистова	1
Питер	730
Костромская губерния	13
Юрьевецкий уезд	1
Нижегородская губерния	14
Сосунцы	2
Сосунцах	1
Из Сибирь	1
Кузьмищев	23
Ерик	2
Красным{	1
Орел	77
Кавказ	439
Егоре Егорыч	1
Гороховое Поле	2
Красные казармы	2
Варшава	372
Красные	2
Сусанне	5
Рыжовых	1
Лефортовском	1
Чистые Пруды	15
Зудченко	1
Невский  проспект	5
Новый   Палкинского	1
Невский	620
Невский проспект	235
Невский Крапчик	1
Большая Морская	40
Щукином двор	6
Жуковский	49
Италия	759
Восток	237
Иоанн Предтечи	2
Казань	755
Кремль	689
Мясницкую	9
Сперанский	3
Европа	1251
Аггей Никитич	2
Вашем ведомство	1
Сен-Мартен	6
Сен-Мартена	2
Сверстов	2
Геттинген	15
Михайловский замок	4
Лейпциг	21
Кузьмищева	1
Артасьева	1
Юпитер	78
Синьково	18
Катрин	3
Тверской бульвар	43
Кузнецкий мост	71
Синьков	14
Федюхин	7
Пилецкий	1
Черкесск	1
Вашей губерния	1
Голицын	3
Вильно	117
Париж	1949
Вильны	42
Канарские	1
Федюхиной	1
Федюхино	4
Синькова	2
Синьков  Катрин	1
Валерьяна  Николаича	1
Петербург-с	6
Адмиралтейская часть	4
Васильевский остров	163
Песках	36
Вязниковская	1
Антипьевская	1
Кузьмищеве	1
Аггей	3
Ганновер	9
Герлиц	2
Голландия	72
Англия	533
Франция	1050
Бордо	7
Ной	1
Пушкины	2
Тулузов	2
Тверская	101
Венере	3
Пров	11
Охотный ряд	30
Колосовский переулок	2
Феодосий Гаврилыч	3
Поварской	9
Собачья Площадка	2
Африка	62
Нова-город	2
Марфину	2
Египет	173
Голгофа	3
Греция	194
Рим	1142
Гаврилыч	2
Лябьевой	1
Тулузовых	1
Федюхину	1
Сусанну	2
Марфиных навытяжку	1
Амалат-Бек	1
Султан-Ахмет	1
Александровский сад	5
Московский трактир	1
Грузинах	4
Иверские  ворот	1
Московский	39
Управа	3
Сретенка	15
Москва-река	163
Воробьевыми	1
Антип Ильич	1
Лефортовская часть	3
Афинах	34
Афины	62
Эгейское море	5
Алена	3
Волхонки	3
Конная площадь	14
Марфиных	1
Аркаша-то	1
Углаковым	1
Северная Пальмира	7
Александровская	4
Пермь	86
Тавриды	8
Китай	108
Палкинский трактир	1
Запад	231
Тобольская губерния	10
Тулузова улица	1
Иверские ворот	11
Владимирке укатит	1
Касательно амур	1
Миропой  Дмитриевной	1
Аггей Никитиче	1
Соединенные Друзья	2
Палестина	62
Директория	1
Астрей	1
Нептун	11
Вашем город	1
Мироп Дмитриевне	1
Петрушек	1
Гарец	1
Геттюнген	1
Кассель	4
Берлин	289
Вильгельмсгее	2
Кельн	10
Майнц	3
Волга	1029
Гейдельберг	41
Южная Германия	2
Северная Германия	1
Гейдельберг развалины	1
Неккер	1
Швейцария	268
Йорк	1
Генрику	1
Малороссия	182
Вильну	45
Синькове	1
Гороховое поле	7
Тула	43
Страстный	3
Страстной бульвар	1
Израилева	1
Сионе{	1
Баден	60
Средиземное море	53
Атлантический океан	6
Оман	5
Ценнер	1
Сосунцов лес	1
Мюнхен	17
Никитская	17
Дрезден	103
Иркутск	68
Фамусов	2
Нева	416
Белокаменная	8
Алатырский уезд	1
Андалузии	4
Зимний дворец	178
Бузулук	5
Катинка	1
Воронеж	118
Греки	20
Золотые алтари	1
Царское Село	46
