Россия	1238
Пекин	10
Америка	8
Псамметих	1
Македония	2
Малая Азия	3
Сирия	5
Персия	20
Индия	25
Аравийских	1
Африка	4
Константинополь	44
Северное Царство	1
Гималайский туннель	1
Каспийский туннель	2
Каспий	8
Петербург	853
Московскою	1
Кремль	250
Земля	24
Китай	16
Хун-Гин	1
Нева	133
Васильевским	1
Германцы	2
Пулковая гора	1
Обсерватория	1
Питер	43
Кронштадт	29
Европа	163
Гостиница	1
Голландия	28
Магелланский пролив	1
Мадагаскар	1
Лондон	36
Луна	6
Камчатка	43
Гороховая улица	3
Месяцеслов	1
Санкт-Петербуржских	1
Сенатские	1
Италия	152
Невский	8
Алексашеньку	1
Гостиного	1
Гостиный	1
Кама	1
Ревекке	1
Ниренбержскую	1
Ниренбержские	1
Английский	1
Гороховая	1
Ока	6
Зимогорью	1
Зимогорье	13
Доктор	1
Зимогорья	12
Равнеевых	1
Фрейлин двор	1
Москва	2368
Жуковский	15
Киев	447
Старый Князь	2
Священник село	1
Равнеевою	1
Графини Лелевой	1
Владимир	21
Полтавы	13
Горбыли	4
Полтава	63
Горбылях	11
Псел	1
Горбылей	7
Малая Россия	3
Миргород	16
Никанор	9
Полтаве	3
Малороссии	5
Набожные        Посреди	1
Малороссия	166
Харитона	2
Кирикова	1
Кириковой	1
Раисою	1
Батурин	43
Харитоном  хутор	1
Анурии	1
Пселе	1
Артамон	1
Евлампию	1
Псела	3
Горбылям	2
Запорожье	53
Сечи Запорожская	3
Путники	1
Конону улица	1
Израиль	11
Зубаря	1
Запорожская Сечь	9
Сечь Запорожскую	4
Лук	1
Сечь	10
Турки	4
Влас верхи	1
Минервы	1
Валдай	2
Воздвиженского	10
Тихвин	14
Смоленск	123
Витебск	5
Вильны	2
Смоленска	3
Тихвина	1
Русь	316
Коломенский	9
Белыя Россия	1
Калиш	2
Лесное	2
Литва	83
Новгород	240
Воздвиженским	1
Воздвиженском	5
Киевская	4
Сухаревой башня	4
Никандр перепадали	1
Возвышении	1
Псалтыри	1
Ольгин пруд	4
Араб	1
Евсеевское	4
Бердыш	1
Воздвиженское	22
Евсеевский	2
Новагород	6
Тихвине	3
Спасова	1
Новегород	11
Новегороде	1
Санкт-Петербург	15
Смольный двор	2
Новая Голландия	4
Литейный двор	2
Малая Миллионная	1
Невский проспект	27
Зеленый	1
Аничков	2
Аничков мост	4
Александро-Невский монастырь	1
Фонтанка	26
Петербургская	2
Петропавловский	1
Васильевский остров	10
Эстония	6
Сибирь	145
Петербургская сторона	9
Адмиралтейства	6
Адмиралтейская сторона	2
Евсеевского	2
Белозубов	1
Прут	10
Лефортова дворец	1
Новогородская губерния	1
Царицын сад	1
Александровский дворец	1
Париж	157
Летний сад	14
Неву	3
Эзоповых	1
Федровых	1
Летний дворец	2
Адмиралтейств-коллегий	1
Смольному	1
Троицкий мост	4
Западная Европа	3
Берлин	12
Варшава	102
Мекленбург-Стрелицкая	1
Измайлове	1
Турция	22
Оренбургский край	1
Семилетняя	1
Малый Орел	1
Горбуновых	1
Санкт-Петербурх	1
Рогвих	1
П***	1
Германия	72
Прага	9
Смоленская дорога	10
Дорогомиловская застава	3
Ехалов	1
Красное Село	2
Бостон	1
Анютою	1
Новая Басманная	1
Ехалов мост	1
Красный Селу	1
Лейпциг	28
Вена	25
Мегару	1
Брауншвейг	1
Лихтенштейн	1
Богемия	6
Баден	1
Дармштадт	1
Гриммская улица	3
Алтенбург	1
Неаполь	11
Египет	19
Помпеи	2
Геркулан	1
Скиллы	1
Неймарк	1
Алцеста	1
Южная Европа	1
Гишпаний	1
Дрезден	19
Саксонии	3
Аделине	1
Эльстер	1
Варшавою	1
Мадрит	2
Ахен	1
Проломная застава	4
Лафертовская	5
Пресненские пруды	4
Хамовники	1
Пятницкую	1
Лафертовская часть	2
Введенское кладбище	1
Лудовик XV	1
Пифии	1
Диодор Сицилийский	1
Цицерон	3
Испания	37
Франция	116
Лотарингского	1
Афины	5
Спевзипп	1
Апулей	1
Милета	1
Лариссу	1
Фессалии	1
Мясницкой	4
Север	21
Черная Грязь	11
Борнео	8
Соединенные Штаты	1
Французская республика	1
Английская набережная	5
Аграфена Петровна	1
Микель-Анджело	1
Амур	11
Ломоносов	1
Пушкин	7
